Jahr;GKZ;Geschlecht;Vorname;Anzahl
2011;20616;2;Lilly;1
2011;20502;1;Fabian;1
2010;20624;2;Franziska;1
2010;20101;2;Viktoria;1
2009;20923;1;Jonas;6
2012;20504;2;Lara;1
2008;20635;1;Rene;1
2013;20807;2;Annika;1
2012;20424;1;Timon;2
2013;20642;2;Kiana;1
2011;20923;2;Rosa;1
2013;20316;1;Julian;1
2009;20418;1;Maximilian;1
2004;20409;1;;12
2010;21003;2;Marlene;1
2011;20620;1;Martin;1
2009;20101;2;Elisa;2
2012;20923;1;Tobias;5
2008;20644;1;Nico;1
2011;20405;2;Chiara;1
2008;20805;1;Matthias;1
2013;20923;2;Dorothea;1
2012;20725;1;Marc;1
2008;20905;2;Katja;1
2014;20801;2;Dora;1
2008;20725;1;Thomas;1
2008;21005;1;Florian;1
2008;20636;1;Noah;1
2011;20817;1;Nico;1
2013;20638;2;Marie;1
2009;20806;1;Constantin;1
2003;20644;2;;8
2010;21008;1;Timotheus;1
2009;20813;2;Nina;1
2008;20807;1;Julian;1
2013;20901;2;Romy;1
2009;20923;1;Simon;3
2012;20711;2;Jasmin;1
2010;20305;2;Helena;1
2010;20643;1;Max;1
2008;20307;2;Franziska;1
2012;20416;1;Leon;1
2012;20725;1;Kilian;1
2011;21006;1;Marvin;1
2010;20923;1;Ahmed;1
2010;20101;1;Belmin;1
2010;20711;2;Franziska;1
2011;20527;1;David;2
2003;20708;1;;3
2009;20320;2;Anna;1
2012;20923;2;Vanessa;1
2009;20101;1;Jamal;1
2008;20724;1;Werner;1
2013;20705;1;Jonas;1
2012;20803;2;Kimberly;1
2011;21005;1;Jonas;1
2008;20711;2;Leonie;1
2011;20409;1;Cevin;1
2008;21001;2;Larissa;1
2004;20418;1;;14
2012;20634;2;Lena;1
2010;20527;2;Hemma-sophie;1
2010;20425;1;Cornelius;1
2008;20635;2;Laura-marie;1
2009;21002;2;Loreley;1
2012;20801;1;Mathias;1
2012;20644;2;Marie;1
2009;20913;2;Annika;1
2008;21005;2;Magdalena;1
2008;20531;2;Aliyah;1
2013;20435;2;Johanna;1
2011;20101;2;Pia;1
2006;20101;1;;453
2006;20425;2;;7
2011;21002;1;Abu;1
2008;20402;1;Phillip;1
2013;20604;2;Kristin;1
2009;21002;1;Leo;1
2011;20201;1;Martin;3
2008;20305;1;Erik;1
2011;20527;2;Leni;1
2009;20101;2;Lilli;3
2006;20505;1;;24
2011;20813;1;Colin;1
2008;20801;2;Anna;1
2011;20527;2;Emilia;1
2008;20632;1;Noel;1
2014;20918;1;Andreas;2
2008;20527;2;Leonie;2
2012;20101;1;David;11
2012;20101;1;Blaise;1
2011;20201;2;G?lsah;1
2009;20923;2;Lena;2
2010;20923;1;Noel;1
2009;20635;2;Emily;1
2008;20632;1;Lorenz;1
2008;20923;1;Anel;1
2008;20633;2;Fabienne;1
2009;20604;2;Melina;1
2014;20201;2;Oya;1
2008;21001;1;;1
2012;20201;1;Constantin;2
2011;20711;1;Kevin;1
2012;20702;2;Jana;1
2010;20523;2;Katharina;1
2008;20415;1;Dorian;1
2009;20711;2;Sara;1
2006;20721;2;;2
2009;20810;1;Martin;1
2012;20923;2;Helena;1
2009;20101;2;Leonita;1
2009;20635;1;Valentin;1
2009;20307;1;Lenyo;1
2014;20620;2;Sarah;1
2013;20817;1;Michael;1
2008;20513;1;Luca;1
2009;20923;1;Michael;1
2008;20637;2;Anna;1
2013;20307;2;Miriam;1
2010;20523;2;Grace;1
2010;20901;2;Selina;1
2010;20725;2;Gaia;1
2013;20305;1;Jakob;2
2014;21005;2;Sophie;1
2013;20817;2;Luisa;1
2010;20913;1;Matthias;1
2011;20923;1;Moritz;2
2010;20817;1;Lysander;1
2010;20719;1;Sebastian;1
2013;20520;2;Gloria-maria;1
2014;20923;1;David;3
2003;20534;1;;12
2009;21009;2;Tamara;1
2010;21010;2;Anja;1
2008;20509;1;Mathias;1
2013;20418;2;Magdalena;1
2013;20923;2;Larina;1
2014;20630;2;Anika;1
2010;20635;1;Noel;1
2009;20909;1;Lorenz;1
2012;21002;2;Hannah;1
2014;20316;1;Antonio;1
2013;20611;2;Silja;1
2012;20914;2;Larissa;1
2008;20630;2;Diana;1
2014;20201;1;Cedric;1
2008;20813;2;Mia;1
2014;20425;1;Vincent;1
2008;20320;2;Luise;1
2011;20505;1;Sedrik;1
2013;20435;2;Elina;1
2009;20720;1;Robert;1
2011;20635;1;Sebastian;1
2010;20803;1;Noah;2
2010;20520;1;Alois;1
2010;20530;2;Michelle;1
2014;20101;1;Kilian;1
2012;20432;1;Anes;1
2014;20101;1;Ilay;1
2009;21002;1;Michael;1
2009;20608;2;Magdalena;1
2009;20817;1;Julian;3
2008;20810;2;Magdalena;1
2013;20911;1;Luca;1
2009;20702;1;Dion;1
2014;20201;2;Lisa;2
2013;20911;2;Elena;1
2014;20418;2;Aylin;1
2010;20442;2;Johanna;1
2009;21010;2;Leonie;1
2012;20707;2;Magdalena;1
2014;20101;2;Helena;5
2012;20201;1;Deni;1
2008;21002;2;Reingard;1
2012;20805;1;Luca;1
2011;20604;2;Annika;1
2014;20101;2;Lucienne;1
2009;20101;1;Lukas;6
2012;20813;1;William;1
2012;20636;2;Emily;1
2011;20701;2;Milena;1
2009;20402;2;;1
2010;20634;1;Luca;1
2010;20640;2;Elena;1
2008;20616;2;Angelina;1
2014;20722;2;Emely;1
2013;20710;2;Anna-sophia;1
2008;20602;2;Elisa;1
2013;20101;2;Mirella;1
2012;20633;2;Melissa;1
2014;20527;1;Alex;1
2013;20405;1;Ilja;1
2014;20306;2;Arijana;1
2012;20625;1;Noah;1
2014;20923;2;Diva;1
2003;20918;1;;19
2008;20305;1;Paul;1
2012;20702;2;Anna;1
2012;20923;1;Henri;1
2011;20101;2;Laura;8
2008;20634;2;Emma;1
2012;20627;1;Samuel;1
2011;20702;1;Andre;1
2013;20913;1;Johannes;1
2010;20305;2;Emilia;1
2008;20725;2;Anna-beatrice;1
2010;20201;2;Naomi;3
2003;20725;2;;22
2013;20305;2;Pia;1
2014;20644;1;Artur;1
2013;20725;2;Natalie;1
2013;20201;2;Melissa;1
2008;20508;2;Maren;1
2014;20402;2;Stella;1
2008;20817;1;Matteo;1
2012;20605;1;Tobias;1
2011;20201;2;Julia;5
2009;20703;2;Amelina;1
2012;20720;1;Tobias;2
2014;20923;1;Raphael;3
2012;20305;2;Leonie;1
2014;20534;1;Timo;1
2014;20923;1;Albion;1
2010;20201;2;Nina;3
2013;20305;1;Dominik;2
2005;20622;2;;3
2013;20635;2;Layla;1
2010;20417;1;Michael;1
2004;20719;2;;5
2010;20627;2;Bailey-sue;1
2013;21010;1;Martin;1
2012;20804;2;Viktoria;1
2012;20101;2;Astrid;1
2011;21002;1;Lewis;1
2009;20316;2;Josefine;1
2010;20609;2;Luisa;1
2014;20808;1;Elias;1
2014;20101;1;Wolf;1
2012;20634;2;Karo;1
2013;20923;2;Paula;1
2011;20923;1;Alexander;2
2007;21007;2;;6
2011;20101;2;Laureen;1
2012;20201;2;Zoey;2
2011;20806;2;Saskia;1
2014;20607;2;Lara-sophie;1
2004;20722;2;;8
2014;20201;2;Stella;2
2010;20201;2;Elsa;1
2005;20642;1;;12
2014;20630;1;Jonathan;2
2014;20527;1;Luca;2
2009;20201;2;Carla;1
2011;20702;1;Fabian;1
2008;20402;1;Jakob;2
2010;20727;2;Anna;2
2009;20101;2;Mattea;1
2009;20201;2;Leila;1
2012;20634;1;Maximilian;3
2014;20813;2;Marcella;1
2014;20723;2;Elena;1
2010;20505;2;Johanna;1
2010;20723;1;Alexander;1
2004;20711;2;;32
2013;20602;1;Moritz;1
2009;20711;1;Paul;1
2008;20631;1;Julian;2
2014;20627;2;Luisa;1
2010;20727;2;Jana;1
2014;21005;1;Michael;1
2009;20523;2;Jessica;1
2006;20418;1;;20
2005;20727;1;;22
2008;20425;1;David;1
2013;20306;1;Michael;1
2013;20305;1;Andreas;1
2010;20425;1;Michael;1
2013;20101;1;Amar;1
2012;20415;2;Anna;1
2009;21007;1;Christoph;1
2010;20201;1;Ibrahim;1
2008;20607;2;Jana;1
2012;20806;1;Maximilian;1
2009;20638;1;Mathias;1
2013;20201;1;Charlie;1
2012;20912;1;Raphael;1
2004;20518;1;;10
2013;20201;2;Winnibel;1
2006;20812;2;;5
2013;20201;2;Denise;1
2008;20806;1;Moritz;1
2014;21007;1;Adrian;1
2011;21008;1;Marc;1
2006;21004;2;;7
2012;20817;2;Amelia;1
2010;20506;1;Felix;1
2012;20803;2;Valentina;1
2011;20711;2;Rosa;1
2008;20720;1;Christopher;2
2011;20913;1;Ronald;1
2010;20644;1;Niklas;1
2009;20412;1;Sebastian;1
2008;20419;2;Nadine;1
2012;20727;1;Julien;1
2008;20912;1;Florian;1
2014;20711;1;Lukas;1
2008;21009;1;Jeremias;1
2012;20637;2;Kiara;1
2014;20634;1;Luca;1
2009;21009;2;Lena;1
2010;20421;2;Gloria;1
2013;20505;1;Alem;1
2009;20806;2;Tatjana;1
2010;20201;1;Lion-luca;1
2012;20405;1;Fabio;1
2011;20722;1;Samuel;1
2009;20620;2;Emilia;1
2014;20727;1;Simon;1
2011;20201;2;Katrin;1
2014;20201;1;Pascal;1
2010;20435;2;Magdalena;1
2010;20505;1;Fabian;1
2009;20721;1;Emilian;1
2012;20201;1;Ismail;1
2011;20101;1;Leandro;2
2012;20416;1;Raphael;1
2009;20723;1;Tobias;1
2011;20613;1;Tobias;1
2012;20703;1;Tom;1
2011;20618;1;Christian;1
2012;20320;2;Eva-maria;1
2013;20636;2;Charmaine;1
2010;20627;2;Elisa;1
2010;20627;1;Clemens;1
2008;20101;2;Mia;1
2003;21002;1;;63
2012;20802;1;Michael;1
2012;20428;2;Magdalena;1
2009;20635;2;Nina;1
2011;20923;1;Manuel;1
2014;20305;1;Konstantin;1
2013;20803;1;David;1
2010;21002;2;Leonie;1
2010;20505;1;Tobias;1
2013;20808;2;Johanna;1
2014;20711;1;Mathias;2
2004;20807;1;;8
2010;20425;2;Sophie;2
2012;20515;2;Melina;1
2010;20502;2;Kristin;1
2012;20417;1;Nils;1
2011;20604;1;Daniel;1
2009;21001;1;Lorenz;1
2003;20618;1;;3
2012;20201;2;Tabea;1
2008;20801;1;Luka;1
2008;20101;1;Antonije;1
2010;20806;2;Nina;1
2011;20808;2;Alissa;1
2012;20707;2;Laura;1
2010;20405;1;Mario;1
2014;20201;1;Luca;3
2009;20630;1;Andre;1
2003;20726;2;;8
2010;20803;1;Marlon;1
2012;20101;1;Nikola;2
2011;20634;1;Paul;1
2013;20638;1;Jakob;1
2008;20527;2;Anna-lena;1
2012;20724;1;Matteo;1
2008;20635;1;Elias;4
2009;20512;2;Bernadett;1
2013;20720;1;Liam;1
2013;20101;2;Dorina;1
2011;20602;2;Laura;2
2014;20101;1;Dorian;3
2011;20101;1;Lyon;1
2013;20405;1;Raphael;1
2012;20808;1;Maximilian;1
2010;20520;1;Tobias;1
2013;20805;2;Selina;1
2010;20918;1;Samuel;1
2011;20501;2;Bersu;1
2013;20527;2;Marlene;1
2010;20817;1;Andreas;1
2014;20414;2;Elisa;1
2013;20722;1;Matteo;1
2012;20635;2;Marwa;1
2008;21002;1;Johannes;1
2013;20531;1;Sebastian;1
2013;20425;1;Thomas;1
2012;20725;1;Lion;1
2010;20803;1;Fabian;1
2008;20635;2;Leonie;3
2012;20803;2;Sofia;1
2012;20101;2;Ajla;1
2014;20705;2;Dorothea;1
2009;20101;1;Zion;1
2013;20635;2;Helena;1
2008;20418;2;Aileen;1
2011;20923;2;Kara;1
2014;20722;1;Luis;1
2011;20101;1;Thomas;5
2012;20643;2;Fabienne;1
2011;20201;1;Jaimie-noah;1
2010;20637;2;Leonie;1
2014;20805;1;Martin;1
2014;20619;1;Leon;1
2008;21009;1;Max;1
2008;20101;2;Ina;1
2008;21002;2;Julia;2
2010;20635;2;Hannah;2
2014;20101;1;Henry;1
2007;20707;2;;1
2010;20405;1;Ewald;1
2014;20643;2;Mara;1
2007;20708;2;;9
2013;20201;2;Christina;2
2011;20101;1;Jasjot;1
2008;20632;2;Jennifer;1
2011;20101;2;Greta;1
2010;20635;2;Monique;1
2010;20807;2;Lisa-sophie;1
2009;20817;1;Samuel;1
2013;20609;2;Sarah;1
2013;20803;2;Valentina;1
2012;20101;1;Gustav;1
2012;20605;2;Sophie;2
2013;20635;1;Elias;2
2012;20804;1;Arjen;1
2009;20610;1;Florian;1
2008;20527;2;Bettina;1
2009;20633;2;Melissa;1
2012;20527;2;Johanna;1
2012;20923;2;Klara;1
2013;20803;1;Matteo;1
2008;20639;1;Fritz;1
2008;20518;2;Leonie;1
2008;20631;1;Jakob;1
2010;20725;2;Emma;1
2014;20724;2;Emma;1
2012;20421;2;Verena;1
2012;20201;1;Christoph;1
2011;20609;2;Sarah;1
2008;20515;1;Jonas;1
2011;20519;1;Raphael;1
2011;20803;1;Gerald;1
2010;20631;1;Florian;1
2013;20620;2;Johanna;1
2014;20805;1;Julian;1
2011;20502;2;Daliah;1
2010;20201;2;Annika;1
2014;20918;1;Jonas;2
2012;20305;1;Leonardo;1
2012;20402;2;Laura;1
2014;20635;2;Isabell;1
2008;20807;2;Emily;2
2009;20911;1;Lorenz;1
2014;20504;1;Sebastian;1
2008;20523;2;Marie;1
2008;20635;2;Ilea;1
2010;20321;2;Sara;1
2009;20711;2;Lea-marie;1
2012;20417;2;Marie;1
2014;20711;2;Nova;1
2008;20720;2;Nadine;1
2013;21002;2;Hannah;1
2008;21002;2;Nadja;1
2010;20527;2;Lara;1
2013;20428;1;Maximilian;1
2011;20419;1;Simon;1
2013;21003;1;John;1
2010;20721;1;Marco;1
2013;20101;1;Yaser;1
2011;20101;2;Regina;1
2012;20813;2;Marielizabeth;1
2009;20305;1;Alexander;1
2014;20913;1;Thomas;1
2013;20635;2;Ema;1
2007;20523;1;;14
2009;20424;1;Daniel;1
2013;20101;2;Aurora;1
2009;20519;1;Jannik;1
2013;20432;1;Kilian;1
2010;20707;2;Helena;1
2012;20702;1;Mathias;2
2013;20620;2;Emily;1
2009;20630;1;Sandro;1
2010;20724;2;Tessa;1
2012;20101;1;Angelo;1
2013;20636;2;Lucy;1
2011;20527;2;Viktoria;1
2010;21005;2;Sophia;1
2009;20725;1;Konstantin;1
2009;20703;2;Larina;1
2012;20506;1;Paul;1
2010;20630;1;Alexander;1
2008;20405;2;Julia;1
2010;20817;2;Britta;1
2008;20405;1;Elijah;1
2010;20702;1;Emil;1
2010;20403;1;David;1
2010;20508;1;Oliver;1
2008;20805;2;Jessica;1
2010;20305;1;Noel;1
2010;20421;2;Nathalie;1
2009;20432;1;Luca;1
2010;20611;1;Michael-alois;1
2011;20635;1;Tobias;4
2012;20923;2;Mona;1
2010;20515;1;Patrick;1
2012;20808;2;Hanna;1
2013;20719;2;Lisa;1
2008;20508;2;Marina;1
2008;20428;2;Lisa-marie;1
2013;21002;2;Lena;3
2008;20909;2;Denise;1
2013;20914;1;Julian;1
2009;20813;2;Selmina;1
2009;20633;2;Denise;1
2011;20442;2;Melina;1
2005;20723;1;;5
2014;20632;2;Melina;1
2012;20511;2;Tarja;1
2014;20527;1;Leonis;1
2008;20501;2;Anna;1
2011;20417;2;Darina;1
2013;20635;2;Lea-sophie;1
2010;20923;1;Laurenz;1
2013;20201;2;Anna;5
2014;20201;2;Luisa;4
2012;20201;1;Aldin;1
2012;20713;1;Maximilian;1
2012;20601;1;Massimo;1
2008;20722;1;Simon;1
2014;20305;1;Julian;1
2008;20201;1;Jan;1
2013;21002;2;Maya;1
2008;20403;1;Florian;1
2013;20201;2;Haley;1
2011;20402;2;Amelie;1
2012;20636;2;Julina;1
2004;20306;1;;12
2010;20644;2;Alexandra;1
2009;20402;1;Kenan;1
2009;20101;2;Mia;1
2008;20101;2;Anna-maria;1
2011;20608;1;Leon;1
2013;20415;2;Katharina;1
2013;20412;2;Elena;1
2013;20611;1;Jonas;1
2006;20703;1;;3
2013;20804;2;Lanah;1
2014;20101;2;Maria;2
2010;20201;2;Lieselotte;1
2008;20428;2;;1
2010;20914;2;Amelie;1
2013;20817;1;Dennis;1
2010;20711;1;Jan;1
2013;20905;1;Marcel;1
2010;21003;2;Franziska;1
2005;20640;2;;5
2014;20632;2;Julia;1
2009;20502;2;Caroline;1
2008;20722;1;Ronald;1
2012;20101;1;Athanasius;1
2011;20923;1;Felix;2
2010;20101;1;Marcello;1
2012;20201;2;Ronela;1
2011;20912;2;Alexandra;1
2009;20523;2;Elena;1
2009;20711;2;Larissa;1
2013;20905;1;Felix;1
2008;20913;2;Anna-sophie;1
2008;20305;1;Constantin;1
2010;20905;2;Julia;1
2006;20523;2;;13
2014;20305;2;Amy;1
2013;20418;1;Leonhard;2
2008;20913;2;Lisa;1
2009;20416;2;Valentina;1
2010;20803;1;Christoph;1
2012;20101;2;Jara;1
2009;20405;2;Lorena;1
2009;20201;1;Ruben;1
2008;20101;2;Luna;1
2004;20523;1;;15
2007;20502;2;;11
2012;20803;1;Tobias;2
2013;20909;2;Sophia;1
2013;20415;1;Valentin;1
2014;20201;2;Esraa;1
2011;20923;1;Leonard;1
2010;21002;1;Raphael;2
2010;20201;1;Arne;1
2009;20803;1;Marco;1
2008;20519;2;Sarah;1
2011;21003;2;Maya;1
2012;20421;1;Elias;1
2012;20724;1;Jakub;1
2008;20726;1;Fabio;1
2012;20101;1;Emin;2
2011;20604;2;Anika;1
2008;20817;1;Laurin;1
2009;20635;2;Medina;1
2013;20101;1;Philip;3
2009;20618;2;Valentina;1
2012;20101;2;Magdalena;5
2011;20531;2;Victoria;1
2010;20722;1;Marlon;1
2012;20508;1;Lars-stefan;1
2014;20914;1;Matteo;1
2010;20711;1;Maximilian;1
2009;20101;2;Emma;6
2014;20305;1;Pascal;1
2010;20607;1;Luka;1
2011;20619;2;Madelaine;1
2014;20515;2;Pia;1
2010;20101;1;Flori;1
2010;20901;1;Theodor;1
2012;20805;1;David;1
2009;20101;1;Semjen;1
2004;20424;2;;8
2013;20101;2;Kimberly;3
2013;20708;1;Marcel;1
2008;20403;2;Dayna;1
2007;20643;1;;9
2013;20644;1;David;2
2008;20320;2;Melanie;1
2009;20527;2;Larissa;1
2012;20724;2;Lina;1
2011;20402;1;Julian;1
2012;20409;2;Amelie;1
2008;20515;1;Keno;1
2014;20607;1;Alessandro;1
2012;20639;2;Mia;1
2008;20307;1;Raphael;1
2013;20412;1;Yoshua;1
2010;20405;2;Jorina;1
2014;20424;2;Elina;1
2010;20530;1;Killian;1
2011;20101;1;Sandro;1
2008;20807;1;Jonathan;1
2011;20633;1;Leon;1
2009;20201;2;Amalia;1
2013;20101;2;Ilaydanur;1
2005;21001;2;;2
2012;20923;2;Jana;4
2011;20527;1;Leotrim;1
2009;20813;1;Julijan;1
2013;20805;2;Tara;1
2008;20101;1;Elon;1
2009;20321;1;Jonathan;1
2008;20201;1;Mathias;1
2009;20909;2;;1
2010;20602;1;David;1
2011;20101;1;Arjan;1
2009;20520;1;Nevio;1
2014;20817;2;Sarah;2
2010;20803;1;Niko;1
2012;21006;1;Matthias;1
2013;20101;1;Georg;1
2010;20416;1;Matej;1
2009;20702;2;Fabienne;1
2014;21003;2;Anna;1
2012;20636;1;Pascal;1
2009;20642;1;Andreas;1
2007;20712;1;;1
2012;20923;2;Annika;1
2011;20909;2;Jasmin;1
2009;20527;1;Anton;1
2013;20923;1;Stefan;1
2013;20913;1;Gabriel;1
2013;20424;1;Florian;1
2008;20635;2;Hannah;2
2006;21005;2;;9
2009;20817;2;Leticia;1
2011;20808;2;Mia;1
2014;20101;1;Elias;10
2010;20801;2;Lara;1
2010;20101;2;Miriam;2
2010;20101;1;Georg;1
2010;20527;2;Christina;1
2013;20101;2;Viktoria;1
2012;20803;2;Vivien;1
2008;20505;2;Aila;1
2008;20913;2;Leonie;2
2011;20201;1;Damian;1
2010;20923;1;Daniel;1
2003;21007;1;;7
2014;20417;2;Selina;1
2008;20101;1;Leonelo;1
2004;20611;2;;9
2008;20201;1;Adham;1
2008;20711;2;Lisa;1
2008;20409;2;Marie;1
2004;20642;2;;13
2010;20201;1;Eldin;1
2011;20101;2;Rosalie;1
2009;20101;1;Adian;1
2010;20813;1;Niklas;2
2011;20414;2;Ena;1
2008;21002;1;Alexander;1
2011;20624;1;Matheo;1
2011;20702;2;Enya;1
2004;20625;2;;6
2011;20810;1;Lean;1
2009;21001;2;Lena-marie;1
2012;20512;1;Marco;1
2012;20711;2;Melissa;1
2009;20425;1;Pascal;1
2008;20501;1;Johannes;1
2010;20635;1;Tobias;2
2010;20637;2;Marie;1
2009;20909;2;Johanna;1
2009;20101;1;Hanno;1
2008;20201;1;Angelo;1
2011;20923;1;Liam;2
2010;20923;2;Zeliha;1
2011;20101;1;Arman;1
2011;20635;2;Celine;1
2010;20305;2;Aileen;1
2011;20923;1;Ismail;1
2014;20101;1;Mattis;1
2011;20201;2;Hana;2
2010;20307;1;Maximilian;1
2008;20633;2;Laureen;1
2010;20512;1;Erik;1
2013;20813;2;Aminat;1
2012;20101;2;Elena-sophie;1
2012;20201;2;Michelle;1
2014;20101;2;Mayla;1
2011;20923;1;Kenan;1
2008;20201;2;Tharis;1
2008;20708;1;Bastian;1
2004;20640;2;;6
2011;20720;1;Diego;1
2014;20101;1;Viktor;1
2013;20923;1;Tobias;4
2010;20815;2;Johanna;1
2009;20909;2;Gerlind;1
2010;20101;2;Joy;1
2006;20634;2;;23
2014;20608;1;Theo;1
2010;20101;1;Elija;1
2014;20923;1;Martin;1
2014;20913;1;Johnny;1
2013;20914;1;Jonas;1
2010;20808;2;Sofia;1
2009;20402;2;Stefanie;1
2012;20725;2;Luisa;1
2011;20801;2;Ines;1
2011;20101;1;Matthias;6
2011;20803;1;Eric;1
2009;20923;2;Katrin;2
2012;20534;1;Simon;1
2011;21002;2;Sarah-sophie;1
2012;20101;2;Lara-malou;1
2008;20101;1;Fabian;6
2011;20101;1;Nicola;1
2011;20432;1;Felix;1
2010;21002;1;Fabian;1
2009;20803;2;Almedina;1
2010;21008;1;Otari;1
2013;20817;1;Stefan;1
2012;21002;1;Elia;1
2010;20306;2;Emilia;1
2012;20707;2;Isabella;1
2008;20635;1;Eliah;1
2013;20527;1;Jeremy;2
2011;20101;2;Sinja;1
2014;20201;2;Victoria;4
2014;20101;2;Annemarie;1
2011;20923;1;Andreas;1
2008;20502;2;Sophia;1
2009;21001;1;Rene;1
2012;20412;1;Luca;1
2013;20711;1;Christian;1
2013;20813;2;Tia;1
2014;20923;1;Maximilian;4
2012;20534;1;Jakob;1
2009;21002;1;Noel;1
2013;20515;2;Emma;1
2011;20803;1;Leon;1
2014;20923;1;Simon;1
2007;20710;1;;5
2014;20923;2;Emely;1
2012;20807;2;Antonia;1
2009;20101;2;Romy;1
2008;20923;2;Rebecca;1
2009;20803;1;Mattia;1
2008;20513;2;Selina;1
2013;20101;2;Fabienne;2
2011;20101;1;David;6
2008;20505;1;David;2
2012;20909;1;Robin;1
2008;20201;2;Emilie;1
2014;20643;1;Paul;1
2013;20912;2;Tamara;1
2013;20518;1;David;1
2014;20527;1;Saladin;1
2011;20608;1;Felix;1
2010;20923;2;Jessica;1
2012;20306;2;Raha;1
2011;21002;1;Alex;1
2014;20913;1;Andreas;2
2012;20201;2;Lara;4
2010;20101;1;Alexander;7
2012;20501;1;Julian;1
2009;20608;1;Fabio;1
2009;20624;1;Veith;1
2007;20711;1;;30
2009;20923;2;Iris;1
2008;21002;2;Lea;1
2011;20635;1;Noah;1
2011;20515;1;Lukas;1
2014;20101;1;Gerald;1
2011;20634;2;Sophia;2
2014;20101;2;Ella;4
2014;20913;2;Selina;1
2013;20923;1;Johannes;2
2012;20509;2;Leonie;1
2008;20509;1;Niclas;1
2014;20618;2;Amelie;1
2009;20527;2;Linda;1
2012;20101;2;Katrin;1
2008;20201;2;Anna;3
2008;20414;1;Marco;1
2010;20425;1;Adrian;1
2013;20635;2;Lia;1
2014;20520;1;Maximilian;1
2009;20643;1;Benedikt;1
2012;21007;1;Tobias;1
2014;20101;1;Isaak;1
2014;20305;2;Hannah;1
2010;20609;2;Victoria;1
2013;20101;1;Johannes;1
2011;21002;2;Emma;2
2009;20720;1;Viktor;1
2009;20101;2;Karoline;1
2013;20806;1;Maximilian;1
